,city,colleges,colleges_count,state_code,city_state
93,Aurora,"['Columbia College–Aurora', 'Ecotech Institute', 'University of Colorado Denver', 'Anschutz Medical Campus', 'Colorado Community College System']",5,CO,"Aurora, CO"
94,Boulder,"['University of Colorado at Boulder', 'Naropa University']",2,CO,"Boulder, CO"
95,Colorado Springs,"['United States Air Force Academy', 'University of Colorado Colorado Springs', 'Colorado College', 'Colorado Technical University']",4,CO,"Colorado Springs, CO"
96,Durango,['Fort Lewis College'],1,CO,"Durango, CO"
97,Fort Collins,['Colorado State University'],1,CO,"Fort Collins, CO"
98,Golden,['Colorado School of Mines'],1,CO,"Golden, CO"
99,Grand Junction,['Colorado Mesa University'],1,CO,"Grand Junction, CO"
100,Greeley,['University of Northern Colorado'],1,CO,"Greeley, CO"
101,Gunnison,['Western State College'],1,CO,"Gunnison, CO"
102,Lakewood,['Colorado Christian University'],1,CO,"Lakewood, CO"
103,Pueblo,['Colorado State University–Pueblo'],1,CO,"Pueblo, CO"
104,Bridgeport,"[""St. Vincent's College"", 'University of Bridgeport']",2,CT,"Bridgeport, CT"
105,Danbury,['Western Connecticut State University'],1,CT,"Danbury, CT"
106,East Hartford,['Goodwin College'],1,CT,"East Hartford, CT"
107,Fairfield,"['Fairfield University', 'Sacred Heart University']",2,CT,"Fairfield, CT"
108,Farmington,['UConn Health'],1,CT,"Farmington, CT"
109,Hamden,['Quinnipiac University'],1,CT,"Hamden, CT"
110,Hartford,"['Rensselaer at Hartford', 'Trinity College', 'University of Connecticut School of Law']",3,CT,"Hartford, CT"
111,Middletown,['Wesleyan University'],1,CT,"Middletown, CT"
112,New Britain,['Central Connecticut State University'],1,CT,"New Britain, CT"
113,New Haven,"['Southern Connecticut State University', 'Albertus Magnus College', 'Downtown New Haven', 'Yale University']",4,CT,"New Haven, CT"
114,New London,"['Connecticut College', 'US Coast Guard Academy', 'Mitchell College']",3,CT,"New London, CT"
115,North Haven,['Quinnipiac University'],1,CT,"North Haven, CT"
116,Southington,['New England Baptist College'],1,CT,"Southington, CT"
117,Stamford,"['University of Connecticut', 'University of Bridgeport', 'Sacred Heart University']",3,CT,"Stamford, CT"
118,Storrs,['University of Connecticut'],1,CT,"Storrs, CT"
119,Waterbury,"['Post University', 'University of Bridgeport', 'University of Connecticut', 'Western Connecticut State University']",4,CT,"Waterbury, CT"
120,Willimantic,['Eastern Connecticut State University'],1,CT,"Willimantic, CT"
121,Hartford,"['University of Hartford', 'University of Saint Joseph', 'University of Connecticut']",3,CT,"Hartford, CT"
122,West Haven,['University of New Haven'],1,CT,"West Haven, CT"
123,Dover,"['Delaware State University', 'Wesley College']",2,DE,"Dover, DE"
124,Newark,['University of Delaware'],1,DE,"Newark, DE"
125,New Castle,['Wilmington University'],1,DE,"New Castle, DE"
126,Wilmington,"['Delaware College of Art & Design', 'Drexel University', 'Springfield College', 'Widener University–Delaware Campus']",4,DE,"Wilmington, DE"
127,Ave Maria,['Ave Maria University'],1,FL,"Ave Maria, FL"
128,Boca Raton,['Florida Atlantic University'],1,FL,"Boca Raton, FL"
129,Bradenton,['Lake Erie College of Osteopathic Medicine'],1,FL,"Bradenton, FL"
130,Brandon,[],0,FL,"Brandon, FL"
131,Cape Coral,['Florida Gulf Coast University'],1,FL,"Cape Coral, FL"
132,Coral Gables,['University of Miami'],1,FL,"Coral Gables, FL"
133,Coral Springs,"['Barry University', 'Nova Southeastern University', 'Broward College']",3,FL,"Coral Springs, FL"
134,Davie,['Nova Southeastern University'],1,FL,"Davie, FL"
135,Daytona Beach,['Embry–Riddle Aeronautical University'],1,FL,"Daytona Beach, FL"
136,Deland,['Stetson University'],1,FL,"Deland, FL"
137,Estero,['Florida Gulf Coast University'],1,FL,"Estero, FL"
138,Fort Lauderdale,"['Broward College', 'City College', 'Florida Atlantic University', 'Florida International University', 'Keiser University', 'Nova Southeastern University', 'The Art Institute of Fort Lauderdale', 'University of Phoenix', 'Jersey College']",9,FL,"Fort Lauderdale, FL"
139,Fort Myers,['Florida Gulf Coast University'],1,FL,"Fort Myers, FL"
140,Gainesville,"['University of Florida', 'Santa Fe College']",2,FL,"Gainesville, FL"
141,Gulfport,"['Stetson University College of Law', 'St. Petersburg College', 'University of South Florida']",3,FL,"Gulfport, FL"
142,Hialeah,"['College of Business and Technology', 'Florida National University']",2,FL,"Hialeah, FL"
143,Hollywood,[],0,FL,"Hollywood, FL"
144,Jacksonville,"['University of North Florida', 'Jacksonville University', 'Florida State College at Jacksonville', 'University of Florida', 'Florida Coastal School of Law', 'Jones College']",6,FL,"Jacksonville, FL"
145,Kendall,"['Keiser College', 'Miami-Dade College', 'Nova Southeastern University', 'College of Business and Technology']",4,FL,"Kendall, FL"
146,Lakeland,['Florida Polytechnic University'],1,FL,"Lakeland, FL"
147,Miami Gardens,"['St. Thomas University', 'Florida Memorial University', 'CBT College']",3,FL,"Miami Gardens, FL"
148,Miami Shores,['Barry University'],1,FL,"Miami Shores, FL"
149,Miramar,"['Broward College', 'Florida International University', 'Nova Southeastern University']",3,FL,"Miramar, FL"
150,North Miami,"['Florida International University', 'Biscayne Bay Campus']",2,FL,"North Miami, FL"
151,Panama City,['Gulf Coast State College'],1,FL,"Panama City, FL"
152,Pembroke Pines,"['Barry University', 'Broward College', 'Florida International University', 'Keiser University']",4,FL,"Pembroke Pines, FL"
153,Port Saint Lucie,"['Indian River State College', 'Barry University', 'Keiser University']",3,FL,"Port Saint Lucie, FL"
